105
(1,3)
(1,2)
(2,4)
(2,5)
(5,6)
(5,7)
(6,7)
(7,8)
(6,10)
(4,10)
(3,11)
(8,9)
(9,10)
(9,17)
(10,16)
(11,13)
(11,12)
(12,14)
(12,15)
(13,14)
(13,29)
(16,17)
(15,16)
(17,18)
(18,19)
(16,19)
(19,20)
(20,21)
(21,22)
(22,23)
(23,20)
(20,24)
(25,16)
(25,38)
(24,39)
(15,26)
(14,27)
(26,27)
(27,28)
(28,29)
(26,37)
(29,30)
(30,31)
(28,32)
(31,32)
(31,33)
(36,37)
(37,38)
(38,39)
(33,34)
(34,35)
(36,35)
(39,40)
(39,42)
(40,41)
(36,41)
(36,42)
(42,43)
(33,43)
(2,1)
(4,2)
(3,1)
(5,2)
(7,5)
(10,6)
(8,7)
(10,4)
(11,3)
(9,8)
(10,9)
(16,10)
(12,11)
(17,9)
(13,11)
(14,12)
(15,12)
(16,15)
(17,16)
(29,13)
(14,13)
(15,14)
(27,14)
(28,27)
(29,28)
(27,26)
(26,15)
(18,17)
(19,16)
(20,19)
(38,25)
(37,26)
(30,29)
(31,30)
(33,31)
(32,31)
(32,28)
(37,36)
(40,39)
(42,39)
(41,36)
(42,36)
(43,42)
(43,33)
(35,34)
(32,31)
